type,userid,segmentid,bounceid,realcid,sendid,threadid,seriesid,formid,basetemplateid,basemessageid,addressid,source,name,cdate,mdate,sdate,ldate,send_amt,total_amt,opens,uniqueopens,linkclicks,uniquelinkclicks,subscriberclicks,forwards,uniqueforwards,hardbounces,softbounces,unsubscribes,unsubreasons,updates,socialshares,replies,uniquereplies,status,public,mail_transfer,mail_send,mail_cleanup,mailer_log_file,tracklinks,tracklinksanalytics,trackreads,trackreadsanalytics,analytics_campaign_name,tweet,facebook,survey,embed_images,htmlunsub,textunsub,htmlunsubdata,textunsubdata,recurring,willrecur,split_type,split_content,split_offset,split_offset_type,split_winner_messageid,split_winner_awaiting,responder_offset,responder_type,responder_existing,reminder_field,reminder_format,reminder_type,reminder_offset,reminder_offset_type,reminder_offset_sign,reminder_last_cron_run,activerss_interval,activerss_url,activerss_items,ip4,laststep,managetext,schedule,scheduleddate,waitpreview,deletestamp,replysys,created_timestamp,updated_timestamp,created_by,updated_by,ip,series_send_lock_time,can_skip_approval,use_quartz_scheduler,verified_opens,verified_unique_opens,predictive_send,repair_timestamp,has_outdated_translations,has_translations,additional_data,moderation_status,segmentname,has_predictive_content,message_id,screenshot,campaign_message_id,ed_version,format,links,id,user,automation
split,1,0,-1,0,3,0,0,0,100009,0,1,web,Terps Esports Newsletter,2025-04-25 20:16:18.000000,2025-04-25T20:45:15-05:00,2025-04-25T20:45:15-05:00,2025-04-25T20:46:10-05:00,13,13,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,1,1,0,all,0,1,1,,0,0,,0,0,0,,,day1,0,even,0,2,day,0,0,0,subscribe,0,sdate,yyyy-mm-dd,month_day,0,day,+,,day1,,10,0,message,0,0,,0,,0,2025-04-25 20:16:18,2025-05-07 18:32:53,,,0,,0,0,3,1,0,2025-05-07 18:32:53,,0,"{""summaryEventSent"":true}",,,0,3,//umd213.img-us3.com/_screenshot_/0578982e-f338-4a9b-a5a5-9d82d35dc8ca.jpeg,1,3,mime,"{'user': 'https://umd213.api-us1.com/api/3/campaigns/1/user', 'automation': 'https://umd213.api-us1.com/api/3/campaigns/1/automation', 'campaignMessage': 'https://umd213.api-us1.com/api/3/campaigns/1/campaignMessage', 'campaignMessages': 'https://umd213.api-us1.com/api/3/campaigns/1/campaignMessages', 'links': 'https://umd213.api-us1.com/api/3/campaigns/1/links', 'aggregateRevenues': 'https://umd213.api-us1.com/api/3/campaigns/1/aggregateRevenues', 'segment': 'https://umd213.api-us1.com/api/3/campaigns/1/segment', 'campaignLists': 'https://umd213.api-us1.com/api/3/campaigns/1/campaignLists'}",1,1,
single,1,0,-1,0,1,0,0,0,100006,0,1,web,Terps Newsletter Test,2025-04-25 20:20:21.000000,2025-04-25T20:21:45-05:00,2025-04-25T20:21:45-05:00,2025-04-25T20:21:51-05:00,13,3,20,3,8,8,3,0,0,0,0,0,0,0,0,0,0,5,1,1,0,1,0,all,0,1,1,,0,0,,0,0,0,,,day1,0,even,0,2,day,0,0,0,subscribe,0,sdate,yyyy-mm-dd,month_day,0,day,+,,day1,,10,0,message,0,0,,0,,0,2025-04-25 20:20:21,2025-04-25 20:47:15,,,0,,0,0,28,3,0,2025-04-25 20:47:03,,0,"{""summaryEventSent"":true}",,,0,5,//umd213.img-us3.com/_screenshot_/66b6db6e-19fc-43b3-befd-197f09b7e126.jpeg,3,3,mime,"{'user': 'https://umd213.api-us1.com/api/3/campaigns/5/user', 'automation': 'https://umd213.api-us1.com/api/3/campaigns/5/automation', 'campaignMessage': 'https://umd213.api-us1.com/api/3/campaigns/5/campaignMessage', 'campaignMessages': 'https://umd213.api-us1.com/api/3/campaigns/5/campaignMessages', 'links': 'https://umd213.api-us1.com/api/3/campaigns/5/links', 'aggregateRevenues': 'https://umd213.api-us1.com/api/3/campaigns/5/aggregateRevenues', 'segment': 'https://umd213.api-us1.com/api/3/campaigns/5/segment', 'campaignLists': 'https://umd213.api-us1.com/api/3/campaigns/5/campaignLists'}",5,1,
single,1,0,-1,0,2,0,0,0,0,0,1,ai,Terps - Recwell Icecream Day ,2025-04-25 20:40:07.000000,2025-04-25T20:42:27-05:00,2025-04-25T20:42:27-05:00,2025-04-25T20:42:32-05:00,13,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,1,0,all,1,1,1,,0,0,,0,0,0,,,day1,0,even,0,2,day,0,0,0,subscribe,0,sdate,,month_day,0,day,+,,day1,,10,0,,0,0,,0,,0,2025-04-25 20:40:07,2025-04-25 20:47:03,,,0,,0,0,6,2,0,2025-04-25 20:47:03,,0,"{""summaryEventSent"":true}",,,0,7,//umd213.img-us3.com/_screenshot_/7e368148-60d8-4f22-b07c-68ae849e85f5.jpeg,5,3,mime,"{'user': 'https://umd213.api-us1.com/api/3/campaigns/6/user', 'automation': 'https://umd213.api-us1.com/api/3/campaigns/6/automation', 'campaignMessage': 'https://umd213.api-us1.com/api/3/campaigns/6/campaignMessage', 'campaignMessages': 'https://umd213.api-us1.com/api/3/campaigns/6/campaignMessages', 'links': 'https://umd213.api-us1.com/api/3/campaigns/6/links', 'aggregateRevenues': 'https://umd213.api-us1.com/api/3/campaigns/6/aggregateRevenues', 'segment': 'https://umd213.api-us1.com/api/3/campaigns/6/segment', 'campaignLists': 'https://umd213.api-us1.com/api/3/campaigns/6/campaignLists'}",6,1,
,,,,,,,,,,,,,Newsletter,2025-04-26 00:00:46.409371,,,,,,83,62,28,14,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Promo Blast,2025-04-26 00:00:46.409371,,,,,,80,60,29,18,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Weekly Update,2025-04-26 00:00:46.409371,,,,,,75,49,29,21,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,, Career Hack Alert,2025-04-26 00:00:46.409371,,,,,,78,49,27,21,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,UMD RecWell Notice,2025-04-26 00:00:46.409371,,,,,,63,42,21,10,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,50% Pro Discount,2025-04-26 00:00:46.409371,,,,,,63,49,20,16,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Free Fries Friday,2025-04-26 00:00:46.409371,,,,,,77,40,22,11,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Job Alerts,2025-04-26 00:00:46.409371,,,,,,73,42,20,14,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,AI Tips Newsletter,2025-04-26 00:00:46.409371,,,,,,68,44,13,10,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,AI Tips Newsletter,2025-04-27 00:00:46.409371,,,,,,52,35,16,11,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Job Alerts,2025-04-27 00:00:46.409371,,,,,,62,37,14,9,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Free Fries Friday,2025-04-27 00:00:46.409371,,,,,,67,36,17,13,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,50% Pro Discount,2025-04-27 00:00:46.409371,,,,,,66,50,16,11,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Newsletter,2025-04-27 00:00:46.409371,,,,,,65,48,13,7,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,, Career Hack Alert,2025-04-27 00:00:46.409371,,,,,,68,40,25,15,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Weekly Update,2025-04-27 00:00:46.409371,,,,,,62,44,20,16,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Promo Blast,2025-04-27 00:00:46.409371,,,,,,71,37,16,12,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,UMD RecWell Notice,2025-04-27 00:00:46.409371,,,,,,72,50,23,18,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Free Fries Friday,2025-04-28 00:00:46.409371,,,,,,168,120,46,40,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,AI Tips Newsletter,2025-04-28 00:00:46.409371,,,,,,181,138,65,39,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Job Alerts,2025-04-28 00:00:46.409371,,,,,,165,86,41,25,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,50% Pro Discount,2025-04-28 00:00:46.409371,,,,,,167,102,61,53,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Newsletter,2025-04-28 00:00:46.409371,,,,,,181,122,61,33,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,, Career Hack Alert,2025-04-28 00:00:46.409371,,,,,,180,109,38,24,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Weekly Update,2025-04-28 00:00:46.409371,,,,,,179,141,52,42,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Promo Blast,2025-04-28 00:00:46.409371,,,,,,170,101,62,32,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,UMD RecWell Notice,2025-04-28 00:00:46.409371,,,,,,176,109,54,28,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,AI Tips Newsletter,2025-04-29 00:00:46.409371,,,,,,152,99,55,28,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Job Alerts,2025-04-29 00:00:46.409371,,,,,,171,110,50,35,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Free Fries Friday,2025-04-29 00:00:46.409371,,,,,,163,130,56,33,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,50% Pro Discount,2025-04-29 00:00:46.409371,,,,,,159,105,39,28,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,UMD RecWell Notice,2025-04-29 00:00:46.409371,,,,,,156,95,41,32,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Weekly Update,2025-04-29 00:00:46.409371,,,,,,132,98,29,20,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Promo Blast,2025-04-29 00:00:46.409371,,,,,,150,106,31,25,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Newsletter,2025-04-29 00:00:46.409371,,,,,,152,90,31,16,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,, Career Hack Alert,2025-04-29 00:00:46.409371,,,,,,160,125,47,25,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,50% Pro Discount,2025-04-30 00:00:46.409371,,,,,,161,102,63,51,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,AI Tips Newsletter,2025-04-30 00:00:46.409371,,,,,,181,128,68,46,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Free Fries Friday,2025-04-30 00:00:46.409371,,,,,,165,110,49,42,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,UMD RecWell Notice,2025-04-30 00:00:46.409371,,,,,,191,150,54,30,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Job Alerts,2025-04-30 00:00:46.409371,,,,,,172,113,43,31,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Weekly Update,2025-04-30 00:00:46.409371,,,,,,171,108,48,30,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Newsletter,2025-04-30 00:00:46.409371,,,,,,188,119,39,33,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,, Career Hack Alert,2025-04-30 00:00:46.409371,,,,,,171,130,47,38,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Promo Blast,2025-04-30 00:00:46.409371,,,,,,160,90,62,34,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Newsletter,2025-05-01 00:00:46.409371,,,,,,190,115,60,51,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Promo Blast,2025-05-01 00:00:46.409371,,,,,,206,131,70,51,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Weekly Update,2025-05-01 00:00:46.409371,,,,,,216,147,63,36,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,, Career Hack Alert,2025-05-01 00:00:46.409371,,,,,,214,133,73,43,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,UMD RecWell Notice,2025-05-01 00:00:46.409371,,,,,,209,143,69,40,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,50% Pro Discount,2025-05-01 00:00:46.409371,,,,,,181,140,61,40,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Free Fries Friday,2025-05-01 00:00:46.409371,,,,,,191,114,55,40,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Job Alerts,2025-05-01 00:00:46.409371,,,,,,201,146,63,45,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,AI Tips Newsletter,2025-05-01 00:00:46.409371,,,,,,213,119,55,38,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,AI Tips Newsletter,2025-05-02 00:00:46.409371,,,,,,126,79,41,28,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Job Alerts,2025-05-02 00:00:46.409371,,,,,,153,99,39,32,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Free Fries Friday,2025-05-02 00:00:46.409371,,,,,,155,106,47,31,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,50% Pro Discount,2025-05-02 00:00:46.409371,,,,,,136,88,51,34,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,UMD RecWell Notice,2025-05-02 00:00:46.409371,,,,,,153,84,33,18,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Weekly Update,2025-05-02 00:00:46.409371,,,,,,143,97,31,23,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Promo Blast,2025-05-02 00:00:46.409371,,,,,,149,111,56,42,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Newsletter,2025-05-02 00:00:46.409371,,,,,,130,96,50,32,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,, Career Hack Alert,2025-05-02 00:00:46.409371,,,,,,165,120,48,33,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,AI Tips Newsletter,2025-05-03 00:00:46.409371,,,,,,53,36,20,12,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Job Alerts,2025-05-03 00:00:46.409371,,,,,,69,44,25,20,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Free Fries Friday,2025-05-03 00:00:46.409371,,,,,,63,36,12,6,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,50% Pro Discount,2025-05-03 00:00:46.409371,,,,,,63,34,23,14,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,, Career Hack Alert,2025-05-03 00:00:46.409371,,,,,,54,29,19,11,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Weekly Update,2025-05-03 00:00:46.409371,,,,,,57,40,20,12,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Promo Blast,2025-05-03 00:00:46.409371,,,,,,81,53,30,18,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Newsletter,2025-05-03 00:00:46.409371,,,,,,65,46,17,10,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,UMD RecWell Notice,2025-05-03 00:00:46.409371,,,,,,62,45,17,8,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,AI Tips Newsletter,2025-05-04 00:00:46.409371,,,,,,69,47,16,8,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Job Alerts,2025-05-04 00:00:46.409371,,,,,,76,41,15,12,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Free Fries Friday,2025-05-04 00:00:46.409371,,,,,,70,50,18,13,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,50% Pro Discount,2025-05-04 00:00:46.409371,,,,,,78,44,18,14,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,UMD RecWell Notice,2025-05-04 00:00:46.409371,,,,,,70,46,24,16,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Weekly Update,2025-05-04 00:00:46.409371,,,,,,75,42,16,13,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Newsletter,2025-05-04 00:00:46.409371,,,,,,78,41,24,15,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,, Career Hack Alert,2025-05-04 00:00:46.409371,,,,,,64,41,23,19,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Promo Blast,2025-05-04 00:00:46.409371,,,,,,92,61,34,26,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Newsletter,2025-05-05 00:00:46.409371,,,,,,170,119,43,24,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
